"name","state","year","sbprim","sbsec","bac08","pbt","admin","txt","hha","hhlearn","intlck1","intlck15","intlck2","mlda21","totpop","avgage","pcinc","income","lim70","totfat","occfat","noccfat","milrur","milurb","vmtrur","vmturb","fueltax","laborfrc2","emp2","unemp2","unemprte","vcrimetot","pcrimetot","vcrimerte","pcrimerte","rurdense","urbdense","fatalities_per_100k","occfat_per_100k","noccfat_per_100k","log_totfat","log_pop","total_vmt","first_year_lim70","rel_year","lead_6_plus","lead_5","lead_4","lead_3","lead_2","lag_0","lag_1","lag_2","lag_3","lag_4","lag_5","lag_6_plus"
"Alaska","AK",1984,0,0,0,1,1,0,0,0,0,0,0,1,513703,28.343542098999,19391,9960981,0,134,108,26,9930,1621,2294,1295,8,NA,NA,NA,10.1199998855591,3108,27468,621.599975585938,5493.60009765625,0.231017112731934,0.798889577388763,26.0851114359854,21.0238211573614,5.06129027862403,4.89783979995091,13.1494005564227,3589,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1985,0,0,0,1,1,0,0,0,0,0,0,1,532492,28.3728160858154,20229,10771669,0,127,104,23,9980,1621,2059,1781,8,NA,NA,NA,9.61999988555908,3031,27588,581.799987792969,5295.2001953125,0.206312626600266,1.09870445728302,23.8501235699316,19.5308098525424,4.31931371738918,4.84418708645859,13.1853231529787,3840,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1986,0,0,0,1,1,0,0,0,0,0,0,1,544269,28.3966522216797,19968,10867834,0,101,84,17,11936,1703,2175,1833,8,NA,NA,NA,10.9399995803833,3046,30307,570.400024414062,5675.5,0.182221844792366,1.07633590698242,18.5570003068336,15.4335448096438,3.12345549718981,4.61512051684126,13.2071988889146,4008,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1987,0,0,0,1,1,0,0,0,0,0,0,1,539310,28.4532508850098,19339,10429668,0,76,58,18,10360,1722,2123,1777,8,NA,NA,NA,10.7600002288818,2391,25841,455.399993896484,4922.10009765625,0.204922780394554,1.03193962574005,14.0920806215349,10.7544825795924,3.33759804194248,4.33073334028633,13.1980458237086,3900,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1988,0,0,0,1,1,0,0,0,0,0,0,1,541982,28.8514194488525,20065,10874986,0,97,75,22,10429,1760,2091,1750,8,NA,NA,NA,9.17000007629395,2682,22566,522.799987792969,4398.7998046875,0.20049861073494,0.994318187236786,17.8972733411811,13.8380979442122,4.0591753969689,4.57471097850338,13.2029880695382,3841,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1989,0,0,0,1,1,0,0,0,0,0,0,1,547153,29.1489543914795,21817,11937660,0,84,71,13,10462,1810,2205,1682,8,NA,NA,NA,6.67999982833862,2623,22567,497.700012207031,4282.2001953125,0.21076275408268,0.929281771183014,15.352195820913,12.9762607533907,2.37593506752225,4.43081679884331,13.2124837497887,3887,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1990,0,0,0,1,1,0,0,0,0,0,0,1,553117,29.5862846374512,22861,12648823,0,98,90,8,11936,1549,2276,1703,8,NA,NA,NA,7.05000019073486,2885,25457,524.5,4628.2001953125,0.190683647990227,1.09941899776459,17.7177703813117,16.2714217787557,1.44634860255606,4.58496747867057,13.2233248313629,3979,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1991,0,1,0,1,1,0,0,0,0,0,0,1,569054,29.8277111053467,23143,13196056,0,101,81,20,11963,1561,2281,1740,8,NA,NA,NA,8.75,3499,29000,613.900024414062,5087.7001953125,0.190671235322952,1.11467003822327,17.7487549511997,14.2341500103681,3.51460494083163,4.61512051684126,13.2517306119446,4021,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1992,0,1,0,1,1,0,0,0,0,0,0,1,586722,30.2106971740723,23931,14089186,0,108,95,13,11986,1648,2005,1836,8,NA,NA,NA,9.23999977111816,3877,28816,660.5,4909,0.167278498411179,1.11407768726349,18.4073547608578,16.1916546507545,2.21570011010325,4.68213122712422,13.2823063920804,3841,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1993,0,1,0,1,1,0,0,0,0,0,0,1,596906,30.4643859863281,24746,14833815,0,118,94,24,12107,1742,2016,1902,8,NA,NA,NA,7.71000003814697,4557,28795,760.799987792969,4807.2001953125,0.166515246033669,1.09184849262238,19.7686067823074,15.7478731994652,4.02073358284219,4.77068462446567,13.2995149260412,3918,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1994,0,1,0,1,1,0,0,0,0,0,0,1,600622,30.75657081604,25396,15321548,0,85,70,15,12543,1782,2176,1974,8,NA,NA,NA,7.76000022888184,4644,29947,766.299987792969,4941.7001953125,0.173483222723007,1.10774409770966,14.1519957643909,11.6545847471455,2.49741101724546,4.44265125649032,13.3057210638971,4150,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Alaska","AK",1995,0,1,0,1,1,0,0,0,0,0,0,1,601581,31.178596496582,26028,15731807,0,87,80,7,11705,1781,2093,2030,8,NA,NA,NA,7.32000017166138,4656,30097,770.900024414062,4982.89990234375,0.178812474012375,1.13980913162231,14.4618929121764,13.2982923330358,1.16360057914063,4.46590811865458,13.3073164686722,4123,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
